City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Country,Wind Speed,Date
Bambanglipuro,-7.95,110.28,76.39,90,100,ID,4.68,1609378477
Pāsighāt,28.07,95.33,60.21,34,0,IN,1.95,1609378478
Mil'kovo,54.72,158.62,7.27,94,100,RU,0.56,1609378479
Mayya,61.73,130.28,-45.4,57,0,RU,1.95,1609378480
Samoded,63.61,40.51,17.1,97,100,RU,7.72,1609378481
Lida,53.88,25.3,36.7,96,100,BY,6.11,1609378482
Trelleborg,55.38,13.16,41.0,93,75,SE,16.11,1609378484
Buraidah,26.33,43.98,53.6,87,20,SA,3.36,1609378267
Sørland,67.67,12.69,38.12,76,52,NO,8.32,1609378486
Esna,25.29,32.55,53.6,71,0,EG,4.7,1609378487
Bonwapitse,-23.08,26.7,73.26,74,100,BW,9.8,1609378488
Sapa,5.15,120.32,82.74,77,99,PH,4.54,1609378489
Venice,27.1,-82.45,71.01,73,75,US,11.41,1609378491
Maun,-19.98,23.42,74.17,58,99,BW,3.65,1609378492
Aksu,41.12,80.26,11.48,93,0,CN,3.22,1609378493
Loíza,18.43,-65.88,78.8,65,40,PR,13.87,1609378494
Salāya,22.32,69.6,61.65,58,0,IN,14.85,1609378495
Abhā,18.22,42.51,55.4,93,0,SA,4.7,1609378369
Egvekinot,66.32,-179.17,-1.84,92,99,RU,13.29,1609378498
Nelson Bay,-32.72,152.15,73.4,73,90,AU,14.99,1609378499
Nishihara,26.18,127.76,55.4,54,75,JP,16.11,1609378500
Darhan,49.49,105.92,-13.86,79,12,MN,2.48,1609378443
Caraquet,47.79,-64.94,17.6,72,100,CA,4.7,1609378503
Husavik,66.04,-17.34,12.2,85,0,IS,4.7,1609378505
San Alberto,7.76,-73.39,74.32,74,57,CO,4.21,1609378506
Acapulco de Juárez,16.86,-99.89,80.6,61,40,MX,4.7,1609378360
Terråk,65.09,12.37,33.8,80,99,NO,6.93,1609378508
Ust-Tsilma,65.44,52.15,-15.59,87,58,RU,7.16,1609378509
Sturgeon Bay,44.83,-87.38,24.8,73,90,US,9.17,1609378244
San Quintín,30.48,-115.95,58.62,61,0,MX,10.16,1609378512
Médéa,36.26,2.75,37.4,93,20,DZ,5.82,1609378513
Taman',45.21,36.72,44.6,81,37,RU,6.71,1609378515
Pitimbu,-7.47,-34.81,77.0,88,20,BR,6.93,1609378516
Vestmannaeyjar,63.44,-20.27,31.87,85,2,IS,10.96,1609378518
Guiratinga,-16.35,-53.76,75.04,73,33,BR,2.44,1609378405
Ocós,14.51,-92.19,80.6,94,5,GT,7.58,1609378520
Saldanha,-33.01,17.94,57.2,87,0,ZA,3.36,1609378521
Mackay,-21.15,149.2,84.0,74,90,AU,13.87,1609378396
Dafeng,23.45,108.59,43.68,53,27,CN,10.49,1609378524
Port Augusta,-32.5,137.77,84.99,56,0,AU,16.11,1609378525
Banjar,-8.19,114.97,82.4,78,40,ID,5.82,1609378526
Edd,13.93,41.69,78.19,46,12,ER,16.51,1609378527
Itoman,26.12,127.67,55.4,62,75,JP,24.16,1609378528
Pacific Grove,36.62,-121.92,52.0,81,75,US,6.93,1609378243
Bairiki Village,1.33,172.98,86.0,70,40,KI,12.75,1609378532
Saint-Paul-lès-Dax,43.73,-1.05,48.2,70,100,FR,10.29,1609378533
Mount Gambier,-37.83,140.77,66.2,52,90,AU,18.34,1609378323
Lucapa,-8.42,20.74,65.07,97,100,AO,2.64,1609378535
Tilichiki,60.47,166.1,3.06,95,100,RU,14.2,1609378538
Heze,35.24,115.44,25.41,57,0,CN,4.74,1609378539
Flinders,-34.58,150.86,73.0,73,98,AU,4.0,1609378540
Fairbanks,64.84,-147.72,10.0,83,40,US,2.3,1609378461
Kudahuvadhoo,2.67,72.89,82.38,76,81,MV,11.68,1609378542
Winnemucca,40.97,-117.74,39.2,32,20,US,14.99,1609378543
Puerto Asís,0.51,-76.5,74.57,86,99,CO,1.63,1609378544
Tuatapere,-46.13,167.68,59.13,78,97,NZ,3.6,1609378546
Gravdal,68.12,13.5,36.5,80,66,NO,6.17,1609378547
Twentynine Palms,34.14,-116.05,55.0,13,1,US,10.29,1609378549
Severo-Kuril'sk,50.68,156.12,23.92,91,52,RU,8.52,1609378551
Shamkhal,43.06,47.34,41.0,93,75,RU,6.71,1609378553
Palu,-0.89,119.87,88.59,51,69,ID,3.04,1609378554
Touros,-5.2,-35.46,78.8,83,40,BR,8.05,1609378555
Katangli,51.71,143.23,-10.61,80,39,RU,13.91,1609378556
Lensk,60.73,114.93,-20.04,83,100,RU,9.13,1609378557
Ozinki,51.18,49.68,6.12,94,100,RU,6.06,1609378558
Gaya,24.78,85.0,48.2,93,0,IN,4.81,1609378560
Sittwe,20.15,92.9,66.81,57,0,MM,7.47,1609378561
Talaya,61.38,152.75,-26.1,82,100,RU,10.47,1609378562
Tautira,-17.73,-149.15,87.8,66,40,PF,5.82,1609378563
Klaksvík,62.23,-6.59,35.6,93,95,FO,13.87,1609378564
Rio Grande,-32.03,-52.1,70.0,96,100,BR,11.5,1609378565
Necochea,-38.55,-58.74,59.0,65,27,AR,18.57,1609378567
Vrangel',42.73,133.08,7.05,79,52,RU,18.14,1609378568
Najrān,17.49,44.13,53.6,58,0,SA,0.51,1609378569
Snåase,64.25,12.38,24.51,92,100,NO,6.11,1609378570
Agirish,61.92,63.02,-26.52,86,2,RU,2.95,1609378571
Sechura,-5.56,-80.82,71.35,75,52,PE,14.76,1609378325
Soto la Marina,23.77,-98.22,69.04,86,1,MX,13.73,1609378574
Suez,29.97,32.53,56.79,71,6,EG,9.33,1609378575
Eureka,40.8,-124.16,51.01,92,100,US,1.99,1609378509
Yumen,40.28,97.2,16.39,81,80,CN,18.86,1609378577
Marsaxlokk,35.84,14.54,55.0,66,20,MT,11.41,1609378578
Kirakira,-10.45,161.92,83.61,78,45,SB,9.15,1609378580
Vostok,46.49,135.88,-14.44,76,100,RU,5.46,1609378581
Severobaykal'sk,55.65,109.32,-7.04,81,0,RU,5.99,1609378582
Linares,-35.85,-71.6,61.18,34,0,CL,8.21,1609378583
Turochak,52.26,87.12,7.16,94,100,RU,3.06,1609378584
Waitati,-45.75,170.57,64.31,68,98,NZ,8.23,1609378585
Dauriya,49.93,116.87,-14.15,83,0,RU,6.35,1609378587
Piteå,65.32,21.48,23.0,92,100,SE,8.05,1609378588
Menongue,-14.66,17.69,63.84,96,100,AO,5.7,1609378589
Prata,-19.31,-48.92,73.45,78,82,BR,1.52,1609378588
Diré,12.28,-10.97,73.09,31,0,ML,2.26,1609378591
Atambua,-9.11,124.89,83.28,67,80,ID,0.76,1609378594
Umba,66.69,34.34,27.28,98,100,RU,14.74,1609378595
Silleda,42.7,-8.25,46.99,93,75,ES,5.82,1609378596
Calhoun,42.25,-85.0,32.0,95,90,US,11.41,1609378597
Port Hawkesbury,45.62,-61.35,25.0,68,90,CA,6.93,1609378598
Marquette,46.53,-87.63,28.0,72,97,US,10.0,1609378578
Novikovo,51.15,37.89,29.53,98,100,RU,11.34,1609378601
Morondava,-20.28,44.28,81.61,77,0,MG,7.65,1609378602
Kumul,42.8,93.45,14.97,75,5,CN,5.97,1609378603
Quatre Cocos,-20.21,57.76,77.0,88,40,MU,14.99,1609378604
Flin Flon,54.77,-101.86,-0.4,91,75,CA,2.24,1609378606
Toora-Khem,52.47,96.11,-10.61,83,100,RU,0.65,1609378607
Halifax,44.65,-63.57,28.4,68,73,CA,2.24,1609378396
Irpa Irpa,-17.72,-66.27,69.8,52,75,BO,5.82,1609378609
Fangshan,39.7,115.99,23.0,32,0,CN,3.15,1609378610
Olinda,-8.01,-34.86,75.2,83,75,BR,11.41,1609378612
Mäntsälä,60.66,25.28,35.01,100,90,FI,6.93,1609378613
Lander,42.83,-108.73,19.4,67,1,US,3.36,1609378614
Nushki,29.55,66.02,33.82,70,40,PK,0.45,1609378319
Palmer,42.16,-72.33,37.0,64,90,US,8.05,1609378616
Kotovo,50.32,44.8,16.63,97,100,RU,10.56,1609378617
Walvis Bay,-22.96,14.51,64.0,82,98,NA,2.24,1609378559
Mabay,6.06,124.47,80.6,78,75,PH,4.7,1609378621
Comodoro Rivadavia,-45.87,-67.5,64.4,39,0,AR,20.8,1609378622
Morón,-34.65,-58.62,70.0,47,0,AR,4.0,1609378371
Port-Gentil,-0.72,8.78,79.95,84,98,GA,10.96,1609378338
Nabire,-3.37,135.48,88.09,59,93,ID,4.47,1609378626
Ahipara,-35.17,173.17,69.44,52,0,NZ,8.52,1609378627
Theunissen,-28.41,26.7,68.38,63,29,ZA,5.26,1609378628
Port-Cartier,50.03,-66.87,14.0,72,100,CA,4.7,1609378631
Maragogi,-9.01,-35.22,76.66,86,1,BR,8.01,1609378632
São Gonçalo,-22.82,-43.04,84.99,79,0,BR,2.24,1609378625
Kartuzy,54.33,18.2,32.0,92,0,PL,4.7,1609378634
Teguise,29.06,-13.56,62.6,72,40,ES,8.05,1609378635
Amapá,1.0,-52.0,71.89,96,33,BR,2.53,1609378637
Boyolangu,-8.12,111.89,81.01,74,100,ID,6.35,1609378638
Barra do Garças,-15.89,-52.26,76.32,69,50,BR,0.69,1609378639
Preston,53.77,-2.72,28.99,91,27,GB,2.39,1609378641
Lismore,-28.81,153.28,82.4,58,40,AU,12.75,1609378643
Mattawa,46.74,-119.9,32.0,97,90,US,3.36,1609378644
Kaliua,-5.06,31.79,65.01,92,100,TZ,2.64,1609378645
Zholymbet,51.74,71.71,-18.38,87,55,KZ,8.57,1609378646
Bjerkvik,68.56,17.52,35.6,59,19,NO,19.46,1609378648
Nauta,-4.51,-73.58,74.17,95,99,PE,2.04,1609378650
Kapit,2.02,112.93,85.14,64,66,MY,0.69,1609378651
San Cristobal,7.77,-72.22,65.84,90,92,VE,2.68,1609378652
Gravelbourg,49.88,-106.55,12.2,78,100,CA,5.82,1609378653
Gorontalo,0.54,123.06,89.96,57,6,ID,1.72,1609378654
Chachapoyas,-6.23,-77.87,54.66,86,44,PE,1.86,1609378655
Charters Towers,-20.1,146.27,84.54,62,100,AU,8.01,1609378656
Coyhaique,-45.58,-72.07,50.0,76,90,CL,4.7,1609378658
Macusani,-14.08,-70.43,40.35,87,100,PE,4.23,1609378659
Edgewater,28.99,-80.9,64.99,100,40,US,10.22,1609378660
Kovdor,67.57,30.48,14.72,96,4,RU,5.06,1609378661
Keti Bandar,24.14,67.45,52.88,42,0,PK,15.23,1609378662
Houlton,46.13,-67.84,24.8,58,90,US,6.93,1609378664
Arman',59.7,150.17,-5.82,79,100,RU,19.51,1609378665
Osa,57.28,55.46,-0.27,93,99,RU,4.68,1609378666
Abu Samrah,35.3,37.18,46.78,59,0,SY,6.46,1609378667
Hokitika,-42.72,170.97,65.07,62,24,NZ,7.18,1609378668
Aitape,-3.14,142.35,86.32,61,76,PG,5.48,1609378669
Riyadh,24.69,46.72,51.8,62,0,SA,5.82,1609378671
Kokopo,-4.35,152.26,76.37,88,100,PG,2.08,1609378672
Tataouine,32.93,10.45,48.2,45,0,TN,5.82,1609378673
Liverpool,53.41,-2.98,37.0,83,20,GB,2.24,1609378525
Kahului,20.89,-156.47,82.4,54,20,US,19.46,1609378675
Yulara,-25.24,130.99,89.6,10,0,AU,12.75,1609378678
Usinsk,65.99,57.53,-24.39,83,0,RU,6.24,1609378679
At-Bashi,41.17,75.81,-0.74,59,0,KG,0.31,1609378680
Feldkirchen an der Donau,48.35,14.05,32.0,95,75,AT,2.24,1609378681
Ust-Kuyga,70.02,135.6,-16.94,87,98,RU,2.53,1609378683
Batemans Bay,-35.72,150.18,71.01,81,100,AU,1.01,1609378684
Okhotsk,59.38,143.3,2.64,85,100,RU,16.8,1609378685
Mujiayingzi,42.12,118.78,0.68,82,0,CN,10.65,1609378686
Kiryat Gat,31.61,34.76,57.0,39,0,IL,1.92,1609378688
